id;head_ru_de;transliteration_de;literal_de;meaning_de;equivalents_de;transparency_de;head_ru_eng;transliteration_eng;literal_eng;meaning_eng;equivalents_eng;transparency_eng
71;ВРАСТАТЬ КОРНЯМИ;wrastatj kornjami;Mit den Wurzeln einwachsen.;"Sich an etw. gewöhnen; etw. liebgewinnen; Zuneigung zu etw. fassen.";;0.0;ВРАСТАТЬ КОРНЯМИ;vrastat’ korn’ami;To take root.;"To become permanently and firmly established; to become attached to something; to get fully accustomed to something.";;0.0
72;ВСТАВАТЬ С ЛЕВОЙ НОГИ;wßtawatj ß lewoj nogi;Mit dem linken Fuß aufstehen.;"Schlecht gelaunt sein; sehr gereizt sein.";mit dem linken Fuß zuerst aufstehen;0.5;ВСТАВАТЬ С ЛЕВОЙ НОГИ;vstavat’s l’evoy nogi;To get up with one’s left foot foremost.;To be in a bad or an irritable state of mind.;To get out of bed on the wrong side;0.5
73;ВСТАВАТЬ С ПЕТУХАМИ;wßtawatj ß petuchami;Mit den Hähnen aufstehen.;Sehr zeitig aufstehen.;beim ersten Hahnenschrei aufstehen;0.5;ВСТАВАТЬ С ПЕТУХАМИ;vstavat’s p’etukhami;To rise with the cocks.;To rise very early in the morning, at daybreak.;To rise with the lark/sun;0.5
74;ВСТАВЛЯТЬ ПАЛКИ В КОЛЁСА;wßtawljatj palki w koljoßa;Stöcke in die Räder einsetzen.;"J-m absichtlich Schwierigkeiten bereiten; j-m Hindernisse in den Weg legen.";j-m Knüppel zwischen die Beine werfen;0.0;ВСТАВЛЯТЬ ПАЛКИ В КОЛЁСА;vstavl’at’ palki v kol’osa;To put sticks in the wheels.;To deliberately interfere with the execution of a plan, operation, etc.;"To put a spoke in someone’s wheel; to throw a spanner in the works; to throw monkey wrenches in the machinery";1.0
75;ВСТРЕЧАТЬ В ШТЫКИ;wßtretschatj w schtyki;J-m mit aufgepflanztem Bajonett begegnen.;J-m sehr feindlich begegnen.;;0.0;ВСТРЕЧАТЬ В ШТЫКИ;vstr’echat’ v shtyki;To meet someone or something with bayonets.;To give a hostile reception to someone or something.;;0.0
76;ВСТУПИТЬ В СТРОЙ;wßtupitj w ßtroj;Sich in eine Formation eingliedem.;In Betrieb genommen werden.;;0.0;ВСТУПИТЬ В СТРОЙ;vstupit’ v stroy;To step into formation.;To come into operation, to become operative.;;0.0
77;В УС НЕ ДУТЬ;w uß ne dutj;Nicht in den Schnurrbart blasen.;"Sich nicht beunruhigen; sich nichts daraus machen.";;0.0;В УС НЕ ДУТЬ;v us n’e dut’;Not to blow into one’s moustache.;"Not to care at all; not to show any sign of emotion.";"Not to give a damn/a hang; not to turn a hair";0.0
78;ВЫБИВАТЬ у кого-либо ПОЧВУ ИЗ-ПОД НОГ;wybiwatj (u kowo-libo) potschwu is-pod nog;J-m den Boden unter den Füßen wegschlagen.;"J-m das Vertrauen in etw. nehmen; j-s seelisches Gleichgewicht stören.";j-m den Boden unter den Füßen entziehen;0.5;ВЫБИВАТЬ у кого-либо ПОЧВУ ИЗ-ПОД НОГ;vybivat’ pochvu is-pod nog;To knock the ground from under someone’s feet.;"To deprive someone of his position or role in society; to undermine someone’s confidence in something completely; to disturb someone’s peace of mind.";"To cut the ground from under someone’s feet; to take the wind out of someone’s sails";1.0
79;ВЫБИТЬ ИЗ КОЛЕИ;wybitj is kolei;Aus der Fahrspur herausschlagen.;J-n in der gewohnten Lebensweise stören.;aus dem Gleis bringen;0.0;ВЫБИТЬ ИЗ КОЛЕИ;vybit’ is kol’ei;To kick someone out of the rut.;"To upset someone’s routine; to unsettle someone.";To get someone out of the groove;1.0
80;ВЫБИТЬ ИЗ СЕДЛА;wybitj is ßedla;Aus dem Sattel schlagen.;"J-m den Lebensinhalt nehmen; j-m den Glauben an etw. nehmen; j-s seelisches Gleichgewicht stören.";aus dem Gleichgewicht bringen;0.0;ВЫБИТЬ ИЗ СЕДЛА;vybit’ is s’edla;To knock someone out of the saddle.;"To deprive someone of his position or role in society; to undermine someone’s confidence in something completely; to disturb someone’s peace of mind.";;0.0
81;ВЫБРОСИТЬ ИЗ ГОЛОВЫ;wybroßitj is golowy;Aus dem Kopf hinauswerfen.;"Sich bemühen, j-n oder etw. zu vergessen; eine Absicht aufgeben.";sich etw. aus dem Kopf schlagen;0.5;ВЫБРОСИТЬ ИЗ ГОЛОВЫ;vybrosit’ iz golovy;To throw something out of one’s head.;"To cause to forget; to dismiss from one’s mind; to give up the idea.";To put something out of one’s head.;1.0
82;ВЫВОДИТЬ кого-либо ИЗ СЕБЯ;wywoditj (kowo-libo) is ßebja;J-n aus sich herausführen.;J-m die Selbstbeherrschung rauben.;j-n aus dem Häunschen bringen;0.0;ВЫВОДИТЬ кого-либо ИЗ СЕБЯ;vyvodit’ is s’eb’a;To lead someone out of himself.;To exasperate, irritate someone.;"To drive someone out of his wits/mind; to put someone beside himself";0.0
83;ВЫВОДИТЬ ИЗ СТРОЯ;wywoditj is ßtroja;Aus einer Formation (heraus)führen.;Außer Betrieb setzen.;;0.0;ВЫВОДИТЬ ИЗ СТРОЯ;vyvodit’ is stroya;To take out of formation.;To disable something, to put something out of operation.;;0.0
84;ВЫВОДИТЬ кого-либо НА ЧИСТУЮ ВОДУ;wywoditj (kowo-libo) na tschißtuju wodu;J-n in klares Wasser führen.;J-n entlarven.;;0.0;ВЫВОДИТЬ кого-либо НА ЧИСТУЮ ВОДУ;vyvodit’ na chistuyu vodu;To conduct someone out onto pure water.;"To bring someone’s misdeeds to light; to expose someone.";"To show someone in his true colours; to unmask.";0.0
85;ВЫЕДЕННОГО ЯЙЦА НЕ СТОИТ;wyjedennowo jajza ne ßtoit;Kein leergegessenes Ei wert sein.;"Das verdient keine Beachtung; das hat keine Bedeutung.";;0.0;ВЫЕДЕННОГО ЯЙЦА НЕ СТОИТ;vyyed’ennovo yaytsa n’e stoit;Not worth an empty egg-shell.;Entirely valueless, worth nothing at all.;Not worth a rap/a farthing/a hill of beans.;0.5
86;ВЫЙТИ ИЗ ПЕЛЁНОК;wyjti is peljonok ;Aus den Windeln gehen.;"Selbständig werden; erwachsen werden.";den Kinderschuhen entwachsen;0.0;ВЫЙТИ ИЗ ПЕЛЁНОК;vyyti is p’el’onok;To come out of one’s swaddling-clothes;To grow up, to become adult, to be on one’s own.;To be out of swaddling-clothes;1.0
87;ВЫЙТИ ИЗ СЕБЯ;wyjti is ßebja;Aus sich hinausgehen.;"Außer sich geraten; die Selbstkontrolle verlieren.";aus der Haut fahren;0.0;ВЫЙТИ ИЗ СЕБЯ;vyyti is s’eb’a;To come out of oneself.;"To be carried away by excitement; to lose control of oneself; to be wrought up.";"To lose one’s temper; to fly off the handle.";0.0
88;ВЫЙТИ ИЗ СТРОЯ;wyjti is ßtroja;Aus einer Formation austreten.;"Nicht funktionieren; kaputt sein.";;0.0;ВЫЙТИ ИЗ СТРОЯ;vyyti is stroya;To step out of formation.;"To be disabled, to become unserviceable; to break down; to be put out of action.";;0.0
89;ВЫЙТИ СУХИМ ИЗ ВОДЫ;wyjti ßuchim is wody;Trocken aus dem Wasser steigen.;Der verdienten Strafe entgehen.;mit heiler Haut davonkommen;0.0;ВЫЙТИ СУХИМ ИЗ ВОДЫ;vyyti sukhim iz vody;To come out of the water dry.;"To escape deserved punishment; to come out with one’s reputation unblemished.";"To come out unscathed; to get off scot-free.";0.0
90;ВЫЛЕТЕТЬ В ТРУБУ;wyletetj w trubu;In den Schornstein fliegen.;Ruiniert sein, völlig verarmen.;sein Geld durch den Schornstein gejagt haben;0.0;ВЫЛЕТЕТЬ В ТРУБУ;vyl’et’et’ v trubu;To fly through the chimney;"To come to ruin financially, to go bankrupt; to have no money at all.";To go bust/smash.;0.0
91;ВЫНЕСТИ что-либо НА СВОИХ ПЛЕЧАХ;wyneßti (tschto-libo) na ßwoich pletschach;Etw. auf seinen Schultern tragen.;Mit etw. allein, ohne fremde Hilfe fertigwerden.;;0.0;ВЫНЕСТИ что-либо НА СВОИХ ПЛЕЧАХ;vyn’esti na svoikh pl’echakh;To bear something on one’s own shoulders.;"To take the whole burden of something; to endure the stress or strain of a difficult undertaking.";To bear the brunt of something;0.0
92;ВЫНОСИТЬ COP ИЗ ИЗБЫ;wynoßitj ßor is isby;Den Kehricht aus der Hütte tragen.;Streitereien, Gezänk zwischen sich Nahestehenden in aller Öffentlichkeit austragen.;"seine schmutzige Wäsche in der Öffentlichkeit waschen; etw. aus der Schule plaudern";0.0;ВЫНОСИТЬ COP ИЗ ИЗБЫ;vynosit’ sor iz izby;To carry the rubbish out of one’s hut.;"To let the outside world know about one’s private troubles, grievances, quarrels, conduct that might be regarded as disreputable; to utter abroad affairs not meant for the public ear.";"To wash one’s dirty linen in public; to tell tales out of school";0.0
93;ВЫРАСТАТЬ В чьих-либо ГЛАЗАХ;wyrastatj w (tschjich-libo) glasach;In j-s Augen wachsen.;"J-s Achtung erringen; von j-m hoch eingeschätzt werden.";in j-s Augen steigen;0.5;ВЫРАСТАТЬ В чьих-либо ГЛАЗАХ;vyrastat’ v glazakh;To grow in someone’s eyes.;"To rise in someone’s esteem; to grow or improve in someone’s opinion.";;0.0
94;ВЫРВАТЬ что-либо С КОРНЕМ;wyrwatj (tschto-libo) ß kornem;Etw. mit der Wurzel herausreißen. ;"Etw. völlig und endgültig vernichten; etw. ausrotten.";"etw. an der Wurzel packen; etw. mit Stumpf und Stiel ausrotten";0.5;ВЫРВАТЬ что-либо С КОРНЕМ;vyrvat’ s korn’em;To tear something out with root.;"To destroy something completely; to eradicate, to extirpate, to uproot something.";To root something out.;1.0
95;ВЫСОСАТЬ что-либо ИЗ ПАЛЬЦА;wyßoßatj (tschto-libo) is paljza;Etw. aus dem Finger saugen.;"Elw. ohne ausreichende Begründung behaupten; etw. erfinden.";sich etw. aus den Fingern saugen;1.0;ВЫСОСАТЬ что-либо ИЗ ПАЛЬЦА;vysosat’ is pal’tsa;To suck something out of one’s finger.;"To allege something which has no foundation in actual fact, absolutely groundless; to fabricate.";"To make something up; to spin something out of thin air.";0.0
96;ВЫТЯГИВАТЬСЯ В СТРУНКУ;wytjagiwatza w ßtrunku;Sich wie eine Saite strecken.;Strammstehen.;kerzengerade stehen;0.0;ВЫТЯГИВАТЬСЯ В СТРУНКУ;vyt’agivattsa v strunku;To stretch oneself into a string.;"To stand stiffly erect; to stand at attention.";;0.0
97;ГАДАТЬ НА КОФЕЙНОЙ ГУЩЕ;gadatj na kofejnoj gustsche;Aus dem Kaffeesatz wahrsagen.;Unbegründete Voraussagen machen.;aus dem Kaffeesatz wahrsagen;1.0;ГАДАТЬ НА КОФЕЙНОЙ ГУЩЕ;gadat’ na kof’eynoy gushche;To tell fortunes by coffee ground;" To make groundless statements; to make wild guesses.";To tell someone’s fortune from the tea-leaves in his cup;0.5
98;ГЛАДИТЬ кого-либо ПО ГОЛОВКЕ;gladitj (kowo-libo) po golowke;J-m das Köpfchen streicheln.;"Allzu große Nachsicht j-m gegenüber üben; allzu nachsichtig j-m gegenüber sein.";;0.0;ГЛАДИТЬ кого-либо ПО ГОЛОВКЕ;gladit’ po golovk’e;To stroke someone’s little head.;"To show approval, to gratify; to show indulgence towards, to pander to someone.";To pat someone on the back;0.5
99;ГЛАДИТЬ кого-либо ПРОТИВ ШЕРСТИ;gladitj (kowo-libo) protiw scherßti;J-m das Haar gegen den Strich streicheln. ;"J-m widersprechen; j-m zuwiderhandeln.";;0.0;ГЛАДИТЬ кого-либо ПРОТИВ ШЕРСТИ;gladit’ protiv shersti;To stroke someone against his hair.;To do or say something contrary to someone’s prejudices, opinions, or habits.;To rub/stroke someone the wrong way;0.5
100;ГЛАЗА РАЗБЕГАЮТСЯ;glasa rasbegajutza;Die Augen laufen auseinander.;"J-d kann sich nicht mehr konzentrieren; j-d wird durch vielfältige Eindrücke abgelenkt.";;0.0;ГЛАЗА РАЗБЕГАЮТСЯ;glaza razb’egayutsa;One’s eyes are running in different directions.;"One doesn’t know what to look at first; one is dazzled by the sight of so many things; one is unable to concentrate on one thing.";;0.0
101;ГЛАЗА РАЗГОРЕЛИСЬ;glasa rasgorelißj;Die Augen entflammten.;"Auf etw. sehr erpicht sein; auf etw. versessen sein.";;0.0;ГЛАЗА РАЗГОРЕЛИСЬ;glaza razgor’elis’;One’s eyes have lit up.;"One desires something earnestly; one is looking longingly or desiringly at something.";To be dying for;0.0
102;ГОВОРИТЬ ПОД РУКУ;goworitj pod ruku;Unter die Hand sprechen.;"Etw. zur unpassenden Zeit sagen; durch Reden j-n daran hindern, sich zu konzentrieren. ";;0.0;ГОВОРИТЬ ПОД РУКУ;govorit’ pod ruku;To speak to someone’s hand.;"To say something at the wrong time; to disturb someone when he is concentrating on something; to distract someone by talking.";To put someone off.;0.0
103;ГОЛОВА ИДЁТ КРУГОМ;golowa idjot krugom;Der Kopf geht ringsum.;J-d kann keinen klaren Gedanken fassen (wegen der Vielzahl der Eindrücke).;"wegen der Vielzahl der Eindrücke; j-m schwirrt der Kopf";0.5;ГОЛОВА ИДЁТ КРУГОМ;golova id’ot krugom;One’s head is going round.;Someone has a lot to do, is in a state of bewilderment or confusion being worn out with troubles and worry.;"One’s head is spinning; one’s head is in a whirl; one’s head is going round and round";1.0
104;ГОЛОДНЫЙ КАК ВОЛК;golodnyj kak wolk;Hungrig wie ein Wolf.;Sehr hungrig.;hungrig wie ein Wolf;1.0;ГОЛОДНЫЙ КАК ВОЛК;golodny kak volk;Hungry as a wolf.;Terribly hungry.;Hungry as a hunter;0.5
105;ГОРИТ В РУКАХ;gorit w rukach;Es brennt in den Händen.;"Eine Arbeit geht gut und zugig voran; etw. gelingt.";die Arbeit geht leicht von der Hand;0.0;ГОРИТ В РУКАХ;gorit v rukakh;It is burning in one’s hands.;"The work is being done quickly, energetically, deftly; the work is going fine.";"Someone has clever hands; someone is working like lightning";0.0
106;ГОТОВ СКВОЗЬ ЗЕМЛЮ ПРОВАЛИТЬСЯ;gotow ßkwosj semlju prowalitza;Bereit, durch die Erde zu stürzen.;Sich vor Scham verbergen wollen.;am liebsten in die Erde versinken wollen;0.0;ГОТОВ СКВОЗЬ ЗЕМЛЮ ПРОВАЛИТЬСЯ;gotov skvoz’ z’eml’u provalittsa;Ready to fall through the ground.;"One earnestly wishes to disappear; one feels so ashamed or embarrassed that he wishes that the earth would swallow him up.";He wishes the ground would open under him;0.5
107;ГУСЕЙ ДРАЗНИТЬ;gußej drasnitj;Die Gänse reizen.;J-n reizen, j-n ärgern.;;0.0;ГУСЕЙ ДРАЗНИТЬ;gus’ey draznit’;To tease the geese.;"To irritate, to annoy someone (often without purpose or reason); to provoke ill feelings.";;0.0
108;ДАВАТЬ кому-либо СДАЧИ;dawatj (komu-Iibo) ßdatschi;J-m den Restbetrag herausgeben.;Einen Schlag mit einem Schlag, eine Beleidigung mit einer Beleidigung beantworten.;j-m keine Antwort schuldig bleiben;0.0;ДАВАТЬ кому-либо СДАЧИ;davat’ zdachi;To give someone the change.;"To retaliate as vigorously as one is attacked; to give as good as one got; to return insult for insult.";To answer in kind;0.0
109;ДАЛЬШЕ ЕХАТЬ НЕКУДА;daljsche jechatj nekuda;Man kann nirgendwohin weiterfahren.;Schlimmer kann es gar nicht kommen.;das ist die Höhe;0.0;ДАЛЬШЕ ЕХАТЬ НЕКУДА;dal’she yekhat’ n’ekuda;You can’t go farther.;"Things couldn’t be worse; that’s the end of it; that’s the limit.";;0.0
110;ДВА САПОГА ПАРА;dwa ßapoga para;Zwei Stiefel sind ein Paar.;"Einander besonders wegen der Eigenschaften ähnlich sein; einer ist nicht besser als der andere.";"gleich und gleich gesellt sich gern; sie sind einander wert";0.0;ДВА САПОГА ПАРА;dva sapoga para;Two boots make a pair.;"They are alike; (usually with reference to disposition, tastes, conduct, etc.); they are well matched; they deserve each other; one is no better than the other.";"They make a pair; birds of one feather; not a pin to choose between them";0.0
111;ДЕЛАТЬ ИЗ МУХИ СЛОНА;delatj is muchi ßlona;Aus einer Fliege einen Elefanten machen.;"Etw. stark übertreiben; etw. Unbedeutendem eine große Bedeutung geben.";aus einer Mücke einen Elefanten machen;0.5;ДЕЛАТЬ ИЗ МУХИ СЛОНА;d’elat’ iz mukhi slona;To make an elephant out of a fly.;To exaggerate the importance of a small matter.;To make a mountain out of a molehill;0.0
112;ДЕЛАТЬ ПОГОДУ;delatj pogodu;Das Wetter machen.;"Den Lauf einer Sache bestimmen; einen entscheidenden Einfluß auf etw. ausüben; ausschlaggebend sein.";;0.0;ДЕЛАТЬ ПОГОДУ;d’elat’ pogodu;To make the weather.;"To determine the course of events, to affect a matter directly; to have a decisive influence on a matter.";;0.0
113;ДЕЛАТЬ что-либо С ЗАКРЫТЫМИ ГЛАЗАМИ;delatj (tschto-libo) ß sakrytymi glasami;Etw. mit geschlossenen Augen tun.;Ohne nachzudenken, unbedacht etw. tun.;;0.0;ДЕЛАТЬ что-либо С ЗАКРЫТЫМИ ГЛАЗАМИ;d’elat’ z zakrytymi glazami;To do something with one’s eyes closed;To do something without thinking, carelessly, rashly.;;0.0
114;ДЕЛАТЬ что-либо СПУСТЯ РУКАВА;delatj (tschto-libo) ßpußtja rukawa;Etw. mit nicht hochgekrempelten Ärmeln tun.;"Etw. nachlässig tun; etw. hinschludern.";;0.0;ДЕЛАТЬ что-либо СПУСТЯ РУКАВА;d’elat’ spust’a rukava;To do something with one’s sleeves lowered.;"To do something carelessly without paying attention to it; to fail to tend properly to affairs; to do something in a slipshod manner.";To let things slide;0.0
